3 6   9 11   14 17   
20 22   25 28   30 1   
4 7   9 12   15 17   
20 23   26 28   31 2   
4 7   10 13   15 18   
21 23   26 29   32 2   
5 8   11 13   16 19   
21 24   27 30   32 3   
6 8   11 14   17 19   
22 25   27 30   1 4   
6 9   12 14   17 20   
23 25   28 31   1 4   
7 10   12 15   18 21   
23 26   29 31   2 5   
8 10   13 16   18 21   
24 27   29 32   3 5   
8 11   14 16   19 22   
24 27   30 1   3 6   
9 12   14 17   20 22   
25 28   31 1   4 7   
9 12   15 18   20 23   
26 28   31 2   5 7   
10 13   15 18   21 24   
26 29   32 2   5 8   
11 13   16 19   22 24   
27 30   32 3   6 9   
11 14   17 19   22 25   
28 30   1 4   6 9   
12 15   17 20   23 25   
28 31   2 4   7 10   
13 15   18 21   23 26   
29 32   2 5   8 10   
